indice_tiempo,petroleo_crudo,petroleo_procesado,gas_natural,harintrigo,aceites_vegetales,subproductos_oleaginosos,faena_carne_vacuna,faena_aves,faena_porcinos,faena_ovinos,leche_industrial_parconsumo,dulce_leche,postres_lacteos_flanes,bebidas_espirituosas,despachos_autorizados_vino_mercado_interno,mercado_externo,despachos_gaseosas,despachos_cigarrillos,papel_pardiarios_impresion,papel_parembalaje,papel_paruso_sanitario_otros_usos,jabones_tocador_lavar,detergentes_limpiadores_incluye_lavandinas,otros_articulos,urea,pvc,sec_butanol,isopropanol,oxigeno,nitrogeno,naftas_total,nafta_comun,gas_oil,fuel_oil,kerosene,aerokerosene,lubricantes,propano,butano,gas_refineria,coque,grasas,asfalto,solventes_alifaticos,solventes_aromaticos,solventes_hexano,aguarras,otros_productos_livianos,otros_productos_medianos,otros_productos_pesados,caucho_sintetico,negro_humo,pinturas_parconstruccion,pinturas_parotros_usos,ceramicos_pisos_revestimientos,articulos_sanitarios_ceramica,cemento_portland,acero_crudo,planos,aluminio_primario,automotores_automoviles,utilitarios,carga_pasajeros,tractores,lavarropas_secarropas,calefones_termotanques,calefactores_estufas,acondicionadores_aire,cocinas_gas_familiar,hornos_microondas,televisores,camaras_fotograficas,acondicionadores_aire_parauto,telefonos_celulares,monitores_lcd_parpc,notebooks_netbooks_tablet_pc,discos_compactos
1980-01-01,28566.0,,13466.0,,,,,,,,,,,,,,,,,,,,,,,,59.669,34.389,,33.241,,,6968.292,,,,7500.6,7900.4,,,,,,,,,,,,,,,,,,,,,,2687.1,674.9,1443.5,714.8,137.545,218640.0,43359.0,19794.0,,,,,,,,,,
1981-01-01,28852.5,,13629.0,,,,,,,,,,,,,,,,,,,,,,,,52.848,32.459,,32.796,,,6920.766,,,,7812.5,8179.4,,,,,,,,,,,,,,,,,,,,,,2517.1,557.7,1297.7,643.7,137.565,139428.0,22790.0,10145.0,,,,,,,,,,
1982-01-01,28470.8,,15523.0,,,,,,,,,,,,,,,,,,,,,,,,79.491,43.843,136.834,144.973,,,6954.187,,,,7790.2,7230.9,,,,,,,,,,,,,,,,,,,,,,2913.0,697.6,1482.5,858.7,140.78,106886.0,19399.0,5832.0,,,,,,,,,,
1983-01-01,28474.0,,17181.0,,,,,,,,,,,,,,,,,,,,,,,,89.2365,527.061,196.681,180.336,,,6941.782,,,,7783.7,6538.8,,,,,,,,,,,,,,,,,,,,,,2965.5,815.6,1570.9,960.7,136.358,128962.0,23967.0,6857.0,,,,,,,,,,
1984-01-01,27838.0,,18764.0,,,,,,,,,,,,,,,,,,,,,,,,86.994,55.621,204.486,186.955,,,6717.496,,,,8035.0,6112.9,,,,,,,,,,,,,,,,,,,,,,2652.1,817.2,1409.9,1031.4,137.839,137206.0,20794.0,9323.0,,,,,,,,,,
1985-01-01,26675.0,,19113.0,,,,,,,,,,,,,,,,,,,,,,,,95.755,42.388,210.065,153.396,,,6325.687,,,,8062.0,5738.2,,,,,,,,,,,,,,,,,,,,,,2945.3,574.4,1378.0,678.8,139.864,113788.0,15211.0,8676.0,,,,,,,,,,
1986-01-01,25179.0,,19246.0,,,,,,,,,,,,,,,,,,,,,,,,91.942,53.919,209.692,210.727,,,6299.247,,,,7868.2,5346.4,,,,,,,,,,,,,,,,,,,,,,3242.6,919.1,1466.4,1078.5,150.643,137889.0,23605.0,8996.0,,,,,,,,,,
1987-01-01,24857.0,,19168.0,,,,,,,,,,,,,,,,,,,,,,,,102.228,94.584,230.149,236.451,,,6077.385,,,,7608.9,4914.8,,,,,,,,,,,,,,,,,,,,,,3602.8,1001.6,1662.2,1248.1,155.109,158743.0,24306.0,10266.0,,,,,,,,,,
1988-01-01,26123.0,,22734.0,,,,,,,,,,,,,,,,,,,,,,,,95.48,109.507,222.049,262.576,,,6192.366,,,,8261.5,4637.7,,,,,,,,,,,,,,,,,,,,,,3623.8,990.6,1613.0,1383.6,157.408,135776.0,20078.0,8306.0,,,,,,,,,,
1989-01-01,26713.0,,24207.0,,,,,,,,,,,,,,,,,,,,,,,,97.86,97.323,225.193,227.824,,,7022.941,,,,8496.3,4566.8,,,,,,,,,,,,,,,,,,,,,,3882.8,882.9,1656.3,1406.8,164.153,107597.0,13971.0,6255.0,,,,,,,,,,
1990-01-01,28060.0,26885.3,23018.0,3102.2,2808.2,7418.7,13423.578,149.2,,,6093.1,,,,,,,,,,,,,,,,108.7947,104.523,225.831,227.415,4200.0,17300.0,7165.032,,,,8866.8,4076.0,,,,,,,,,,,,,,,,,57199.7,36683.0,61507.0,3611.6,2967.8,3635.6,733.3,1524.0,1368.1,162.981,81107.0,13879.0,4653.0,6135.0,,,,,,,,,
1991-01-01,28440.1,26714.2,24642.9,3314.4,3066.885,8081.058,13516.311,173.3,,,5936.9,,,,,,,,,,,,,,,,103.42,105.668,265.009,255.803,8493.0,52898.0,7722.857,,,,9505.3,3737.4,,,,,,,,,,,,,,,,,40935.903,42914.0,87061.0,4399.119,2259.0,2971.7,673.2,1457.2469999999998,1214.3,166.29,114113.0,18906.0,5939.0,3739.0,,273.488,218.403,,,,,,
1992-01-01,32246.2,28660.3,25042.8,3117.8,3099.749,8722.151,12823.907,233.1,,,6590.5,,,,,,,,,,,,,,,,86.334,90.903,297.2,272.184,8800.0,46450.0,7911.008,,,,10610.1,3073.4,,,,,,,,,,,,,,,,,41789.0,39367.0,121658.0,5050.553,1993.1,2679.9,717.9,1519.5700000000002,892.0,153.0,220502.0,31441.0,10079.0,4298.0,,363.563,290.092,,,,,,
1993-01-01,34465.7,28396.0,26662.465,3137.4,2755.317,8118.377,13216.597,255.9,,,7002.5,,,,,,,,,,,,,,,,116.394,85.284,285.3,245.02,10250.0,44031.0,8078.243,,,,10610.2,3064.0,,,,,,,,,,,,,,,,,43715.0,39312.0,133071.0,5647.2,2135.896,2885.4,780.247,1597.4,1264.9,170.613,,,,3830.0,,386.045,437.949,,,,,,
1994-01-01,38732.49999999999,27194.0,27701.8,3291.6,3026.6,8905.199999999999,,266.40000000000003,,,7777.209999999999,,,,,,,,,,,,,,,,97.83200000000002,91.04,268.04999999999995,271.336,11100.0,46780.0,8076.441999999999,,,,9919.9,2748.2000000000003,,,,,,,,,,,,,,,,,48830.0,42465.6,141055.0,6305.999999999999,2658.3,3305.0,1724.0,1762.797,1633.7999999999997,173.37099999999998,338355.0,54853.0,15569.0,4629.0,,,,,,,,,
1995-01-01,41739.058999999994,26331.1,30441.180000000004,3282.8999999999996,3735.1000000000004,9856.9,,290.1,,,8506.74626736,,,,,,,,,,,,,,,,113.874,104.754,305.79999999999995,289.251,10855.0,46136.0,7364.44,,,,9748.179999999998,2222.984,,,,,,,,,,,,,,,,,54254.0,53404.0,104880.0,5477.154,2896.058,3568.5,1892.9009999999998,1847.8999999999999,1791.21,183.176,226656.0,47843.0,10936.0,3490.0,,,,,,,,,
